pratik@pratik-HP-Pavilion-g4-Notebook-PC:~/CL3 CODES/fwdbooths$ python app.py
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [16/Apr/2017 21:04:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:04:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [16/Apr/2017 21:05:00] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:18] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:22] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:25] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:34] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:42] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:05:48] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:06:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:06:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:06:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:07] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:27] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:07:44] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:10:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:10:51] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:14:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:14:55] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:16:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:16:00] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:18:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:18:34] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:19:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:19:39] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:20:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:20:20] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:20:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:20:45] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:22:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:22:32] "POST /multiply HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:22:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2017 21:22:43] "POST /multiply HTTP/1.1" 200 -


